"","iso_code","date","new_cases_smoothed","icu_patients_7","hosp_patients_7","reproduction_rate_7","new_tests_smoothed_7","positive_rate_7","total_vaccinations_7","people_vaccinated_7","people_fully_vaccinated_7","new_vaccinations_smoothed_7","icu_patients_14","hosp_patients_14","reproduction_rate_14","new_tests_smoothed_14","positive_rate_14","total_vaccinations_14","people_vaccinated_14","people_fully_vaccinated_14","new_vaccinations_smoothed_14","new_people_vaccinated_7","new_people_vaccinated_14","new_people_fully_vaccinated_7","new_people_fully_vaccinated_14"
"1","USA","2020-12-28",183118.286,26431,114648,0.97,1801060,0.121,1580566,1542481,8471,222279,25560,109689,1.06,1819614,0.121,24613,21475,3738,4292,374106,4163,1132,89
"2","USA","2020-12-29",183122,26730,117527,0.96,1807135,0.119,2028739,1982163,10891,279363,25812,110996,1.05,1823913,0.12,73196,67870,3921,26438,439682,46395,2420,183
"3","USA","2020-12-30",182606.571,26928,118105,0.94,1835979,0.116,2600499,2542529,12901,338380,25974,112009,1.04,1817165,0.122,231839,221102,4287,70506,560366,153232,2010,366
"4","USA","2020-12-31",190261.714,26714,116273,0.92,1812928,0.115,2796129,2733363,13791,327706,25894,112445,1.03,1798720,0.123,502188,484471,4819,120467,190834,263369,890,532
"5","USA","2021-01-01",198366.143,26559,113495,0.91,1678109,0.112,2808758,2745861,13875,270497,25950,112114,1.02,1793763,0.124,915277,889080,5769,178991,12498,404609,84,950
"6","USA","2021-01-02",209503,26734,115520,0.94,1575440,0.121,2949717,2883922,14467,264807,25805,111086,0.99,1792200,0.123,1096070,1066137,6705,179292,138061,177057,592,936
"7","USA","2021-01-03",216447.857,27063,118987,0.97,1528256,0.122,3045732,2977127,15023,263652,26057,112401,0.98,1796111,0.122,1200171,1168375,7339,168550,93205,102238,556,634
"8","USA","2021-01-04",218552.286,27519,121424,1,1494357,0.123,3632337,3551936,18005,293110,26431,114648,0.97,1801060,0.121,1580566,1542481,8471,222279,574809,374106,2982,1132
"9","USA","2021-01-05",222838.286,27782,122664,1.02,1476969,0.124,4348272,4251306,22131,331362,26730,117527,0.96,1807135,0.119,2028739,1982163,10891,279363,699370,439682,4126,2420
"10","USA","2021-01-06",227774.286,27697,123921,1.04,1464052,0.125,5184992,5071656,28081,369213,26928,118105,0.94,1835979,0.116,2600499,2542529,12901,338380,820350,560366,5950,2010
"11","USA","2021-01-07",232038.286,27748,123346,1.06,1468644,0.13,5604886,5483129,30812,401251,26714,116273,0.92,1812928,0.115,2796129,2733363,13791,327706,411473,190834,2731,890
"12","USA","2021-01-08",251815.143,27471,121053,1.07,1493769,0.133,5687353,5559094,36050,411228,26559,113495,0.91,1678109,0.112,2808758,2745861,13875,270497,75965,12498,5238,84
"13","USA","2021-01-09",246467.429,27614,122668,1.1,1510746,0.139,5948470,5811663,38614,428393,26734,115520,0.94,1575440,0.121,2949717,2883922,14467,264807,252569,138061,2564,592
